,week,count
457,2018-10-01/2018-10-07,272
458,2018-10-08/2018-10-14,351
459,2018-10-15/2018-10-21,263
460,2018-10-22/2018-10-28,379
461,2018-10-29/2018-11-04,275
462,2018-11-05/2018-11-11,298
463,2018-11-12/2018-11-18,308
464,2018-11-19/2018-11-25,194
465,2018-11-26/2018-12-02,189
466,2018-12-03/2018-12-09,420
467,2018-12-10/2018-12-16,633
468,2018-12-17/2018-12-23,590
469,2018-12-24/2018-12-30,360
470,2018-12-31/2019-01-06,494
471,2019-01-07/2019-01-13,737
472,2019-01-14/2019-01-20,568
473,2019-01-21/2019-01-27,500
474,2019-01-28/2019-02-03,609
475,2019-02-04/2019-02-10,568
476,2019-02-11/2019-02-17,541
477,2019-02-18/2019-02-24,482
478,2019-02-25/2019-03-03,634
479,2019-03-04/2019-03-10,678
480,2019-03-11/2019-03-17,824
481,2019-03-18/2019-03-24,910
482,2019-03-25/2019-03-31,1046
483,2019-04-01/2019-04-07,779
484,2019-04-08/2019-04-14,494
485,2019-04-15/2019-04-21,551
486,2019-04-22/2019-04-28,717
487,2019-04-29/2019-05-05,422
488,2019-05-06/2019-05-12,521
489,2019-05-13/2019-05-19,587
490,2019-05-20/2019-05-26,551
491,2019-05-27/2019-06-02,513
492,2019-06-03/2019-06-09,669
493,2019-06-10/2019-06-16,727
494,2019-06-17/2019-06-23,376
495,2019-06-24/2019-06-30,543
496,2019-07-01/2019-07-07,671
497,2019-07-08/2019-07-14,366
498,2019-07-15/2019-07-21,369
499,2019-07-22/2019-07-28,402
500,2019-07-29/2019-08-04,237
501,2019-08-05/2019-08-11,339
502,2019-08-12/2019-08-18,339
503,2019-08-19/2019-08-25,320
504,2019-08-26/2019-09-01,387
505,2019-09-02/2019-09-08,391
506,2019-09-09/2019-09-15,363
507,2019-09-16/2019-09-22,278
508,2019-09-23/2019-09-29,403
509,2019-09-30/2019-10-06,404
510,2019-10-07/2019-10-13,344
511,2019-10-14/2019-10-20,288
512,2019-10-21/2019-10-27,280
513,2019-10-28/2019-11-03,402
514,2019-11-04/2019-11-10,216
515,2019-11-11/2019-11-17,295
516,2019-11-18/2019-11-24,325
517,2019-11-25/2019-12-01,374
518,2019-12-02/2019-12-08,493
519,2019-12-09/2019-12-15,792
520,2019-12-16/2019-12-22,558
521,2019-12-23/2019-12-29,351
522,2019-12-30/2020-01-05,400
523,2020-01-06/2020-01-12,666
524,2020-01-13/2020-01-19,449
525,2020-01-20/2020-01-26,408
526,2020-01-27/2020-02-02,546
527,2020-02-03/2020-02-09,638
528,2020-02-10/2020-02-16,503
529,2020-02-17/2020-02-23,549
530,2020-02-24/2020-03-01,717
531,2020-03-02/2020-03-08,684
532,2020-03-09/2020-03-15,646
533,2020-03-16/2020-03-22,1160
534,2020-03-23/2020-03-29,506
535,2020-03-30/2020-04-05,291
536,2020-04-06/2020-04-12,243
537,2020-04-13/2020-04-19,225
538,2020-04-20/2020-04-26,229
539,2020-04-27/2020-05-03,305
540,2020-05-04/2020-05-10,178
541,2020-05-11/2020-05-17,293
542,2020-05-18/2020-05-24,291
543,2020-05-25/2020-05-31,230
544,2020-06-01/2020-06-07,234
545,2020-06-08/2020-06-14,224
546,2020-06-15/2020-06-21,276
547,2020-06-22/2020-06-28,249
548,2020-06-29/2020-07-05,291
549,2020-07-06/2020-07-12,338
550,2020-07-13/2020-07-19,218
551,2020-07-20/2020-07-26,216
552,2020-07-27/2020-08-02,205
553,2020-08-03/2020-08-09,198
554,2020-08-10/2020-08-16,237
555,2020-08-17/2020-08-23,240
556,2020-08-24/2020-08-30,212
557,2020-08-31/2020-09-06,223
558,2020-09-07/2020-09-13,233
559,2020-09-14/2020-09-20,236
560,2020-09-21/2020-09-27,215
561,2020-09-28/2020-10-04,218
562,2020-10-05/2020-10-11,171
563,2020-10-12/2020-10-18,181
564,2020-10-19/2020-10-25,232
565,2020-10-26/2020-11-01,166
566,2020-11-02/2020-11-08,136
567,2020-11-09/2020-11-15,169
568,2020-11-16/2020-11-22,218
569,2020-11-23/2020-11-29,189
570,2020-11-30/2020-12-06,287
571,2020-12-07/2020-12-13,374
572,2020-12-14/2020-12-20,309
573,2020-12-21/2020-12-27,332
574,2020-12-28/2021-01-03,326
575,2021-01-04/2021-01-10,530
576,2021-01-11/2021-01-17,487
577,2021-01-18/2021-01-24,405
578,2021-01-25/2021-01-31,445
579,2021-02-01/2021-02-07,101
580,2021-02-08/2021-02-14,383
581,2021-02-15/2021-02-21,353
582,2021-02-22/2021-02-28,645
583,2021-03-01/2021-03-07,724
584,2021-03-08/2021-03-14,710
585,2021-03-15/2021-03-21,622
586,2021-03-22/2021-03-28,583
587,2021-03-29/2021-04-04,404
588,2021-04-05/2021-04-11,777
589,2021-04-12/2021-04-18,494
590,2021-04-19/2021-04-25,968
591,2021-04-26/2021-05-02,437
592,2021-05-03/2021-05-09,384
593,2021-05-10/2021-05-16,412
594,2021-05-17/2021-05-23,335
595,2021-05-24/2021-05-30,457
596,2021-05-31/2021-06-06,290
597,2021-06-07/2021-06-13,513
598,2021-06-14/2021-06-20,732
599,2021-06-21/2021-06-27,766
600,2021-06-28/2021-07-04,571
601,2021-07-05/2021-07-11,428
602,2021-07-12/2021-07-18,376
603,2021-07-19/2021-07-25,293
604,2021-07-26/2021-08-01,307
605,2021-08-02/2021-08-08,288
606,2021-08-09/2021-08-15,298
607,2021-08-16/2021-08-22,275
608,2021-08-23/2021-08-29,294
609,2021-08-30/2021-09-05,204
610,2021-09-06/2021-09-12,257
611,2021-09-13/2021-09-19,305
612,2021-09-20/2021-09-26,316
613,2021-09-27/2021-10-03,340
614,2021-10-04/2021-10-10,360
615,2021-10-11/2021-10-17,278
616,2021-10-18/2021-10-24,264
617,2021-10-25/2021-10-31,248
618,2021-11-01/2021-11-07,202
619,2021-11-08/2021-11-14,241
620,2021-11-15/2021-11-21,255
621,2021-11-22/2021-11-28,274
622,2021-11-29/2021-12-05,422
623,2021-12-06/2021-12-12,483
624,2021-12-13/2021-12-19,539
625,2021-12-20/2021-12-26,405
626,2021-12-27/2022-01-02,319
627,2022-01-03/2022-01-09,474
628,2022-01-10/2022-01-16,485
629,2022-01-17/2022-01-23,421
630,2022-01-24/2022-01-30,590
631,2022-01-31/2022-02-06,433
632,2022-02-07/2022-02-13,562
633,2022-02-14/2022-02-20,756
634,2022-02-21/2022-02-27,589
635,2022-02-28/2022-03-06,768
636,2022-03-07/2022-03-13,647
637,2022-03-14/2022-03-20,687
638,2022-03-21/2022-03-27,382
639,2022-03-28/2022-04-03,454
640,2022-04-04/2022-04-10,917
641,2022-04-11/2022-04-17,375
642,2022-04-18/2022-04-24,328
643,2022-04-25/2022-05-01,856
644,2022-05-02/2022-05-08,401
645,2022-05-09/2022-05-15,396
646,2022-05-16/2022-05-22,478
647,2022-05-23/2022-05-29,498
648,2022-05-30/2022-06-05,362
649,2022-06-06/2022-06-12,449
650,2022-06-13/2022-06-19,524
651,2022-06-20/2022-06-26,394
652,2022-06-27/2022-07-03,509
653,2022-07-04/2022-07-10,345
654,2022-07-11/2022-07-17,377
655,2022-07-18/2022-07-24,323
656,2022-07-25/2022-07-31,335
657,2022-08-01/2022-08-07,335
658,2022-08-08/2022-08-14,291
659,2022-08-15/2022-08-21,188
660,2022-08-22/2022-08-28,162
661,2022-08-29/2022-09-04,207
662,2022-09-05/2022-09-11,204
663,2022-09-12/2022-09-18,219
664,2022-09-19/2022-09-25,172
665,2022-09-26/2022-10-02,214
666,2022-10-03/2022-10-09,229
667,2022-10-10/2022-10-16,182
668,2022-10-17/2022-10-23,185
669,2022-10-24/2022-10-30,184
670,2022-10-31/2022-11-06,230
671,2022-11-07/2022-11-13,126
672,2022-11-14/2022-11-20,220
673,2022-11-21/2022-11-27,226
674,2022-11-28/2022-12-04,355
675,2022-12-05/2022-12-11,373
676,2022-12-12/2022-12-18,420
677,2022-12-19/2022-12-25,414
678,2022-12-26/2023-01-01,333
679,2023-01-02/2023-01-08,415
680,2023-01-09/2023-01-15,531
681,2023-01-16/2023-01-22,445
682,2023-01-23/2023-01-29,503
683,2023-01-30/2023-02-05,591
684,2023-02-06/2023-02-12,631
685,2023-02-13/2023-02-19,546
686,2023-02-20/2023-02-26,596
687,2023-02-27/2023-03-05,598
688,2023-03-06/2023-03-12,648
689,2023-03-13/2023-03-19,512
690,2023-03-20/2023-03-26,421
691,2023-03-27/2023-04-02,333
692,2023-04-03/2023-04-09,227
693,2023-04-10/2023-04-16,218
694,2023-04-17/2023-04-23,236
